"","...1","Transaction unique identifier","Price","Date of Transfer","Property Type","Old/New","Duration","Town/City","District","County","PPDCategory Type","Record Status - monthly file only"
"1",1,"{AB964782-C771-4DE9-9F1C-DE89FCF5D440}",164500,2009-12-18,"S",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"2",2,"{18B47541-4458-469F-957C-EDE978FC5C7E}",580000,2008-07-17,"D",FALSE,"F","BATTLE","ROTHER","EAST SUSSEX","A","A"
"3",3,"{37AAEA9D-79F7-4A7D-8B05-D6D1E473BCE3}",240000,2009-06-24,"F",FALSE,"L","LEWES","LEWES","EAST SUSSEX","A","A"
"4",4,"{0F404B12-E361-44A1-9346-D9A61A674AF9}",348500,2009-05-08,"D",FALSE,"F","BATTLE","ROTHER","EAST SUSSEX","A","A"
"5",5,"{C93E4AED-C53E-4DE0-B272-62BBB4BA0C4A}",2e+05,2009-11-18,"S",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"6",6,"{801657AB-9BE1-45E2-BA23-0C85376CF9D0}",208000,2009-03-25,"S",FALSE,"F","LEWES","LEWES","EAST SUSSEX","A","A"
"7",7,"{DC7368AC-5AF1-476D-AE51-331DCC69ED9E}",320000,2008-09-19,"D",FALSE,"F","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"8",8,"{ED626B6B-2C80-412A-A061-34868745FB60}",205000,2009-09-30,"S",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"9",9,"{379E5BD9-8DF1-4A7F-BBF8-879A4DDA1DE6}",350000,2009-06-16,"D",FALSE,"F","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"10",10,"{2BE0A3A4-0FF3-42B7-BB05-6BAA0E238DC7}",230000,2009-11-06,"S",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"11",11,"{8D5FCD36-284E-4FFC-9D72-21AD67585AD1}",635000,2008-07-31,"D",FALSE,"F","UCKFIELD","WEALDEN","EAST SUSSEX","A","A"
"12",12,"{143C2C32-063A-45E3-B470-EAB2BA00ED4C}",180000,2008-06-20,"T",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"13",13,"{41240DED-13B0-4233-9521-BEE676430E6B}",175000,2009-12-23,"T",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"14",14,"{05F71716-575E-4564-B0D9-809CDFC98D1F}",115000,2008-01-02,"F",FALSE,"L","HASTINGS","HASTINGS","EAST SUSSEX","A","A"
"15",15,"{D9749877-C040-44C3-BECB-B22AA473A69B}",108500,2009-11-20,"S",FALSE,"F","BICESTER","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"16",16,"{9DA73B3D-AF07-4601-A827-49111282C854}",322500,2009-11-19,"D",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
